WARNING: 2 open meshes remove
     Removed: WingGeom
     Removed: WingGeom
WARNING: 1 open meshes merged
     Merged: Horizontal Tail
...Mass Properties...
4 Num Comps
4 Total Num Meshes
3408 Total Num Tris

2.078544445894517e+00             Total Mass
3.159674246569113e+01 -1.363815247477252e-08 2.562289009933684e-01       Center of Gravity
1.578997242896620e+01 1.071711707651795e+03 1.076094738102335e+03       Ixx, Iyy, Izz
-5.902152041816427e-03 2.135866385907439e+01 3.134406002114504e-03       Ixy, Ixz, Iyz
1.027549658107479e+03             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
FuselageGeom	1.716647736088480e+00	2.320109198587680e+01	-1.286754014430925e-08	8.370050180245327e-09	6.662732808099627e+00	3.728304300548917e+02	3.739990574970727e+02	-5.091198794339602e-03	-1.657639885922684e-03	2.669052515075204e-03	9.536931867239434e+02
Horizontal Tail	2.412590117314894e-01	7.142734578805253e+01	-2.594095301817485e-08	1.217272340095160e-08	6.174637406006551e+00	6.470139392875341e-01	6.805645237875050e+00	-5.685171804824214e-04	-1.850503818325156e-04	3.100221443348782e-04	4.923653300640985e+01
Vertical Tail	1.206376980669906e-01	7.140919306890069e+01	-1.826007676340636e-16	4.414732295674820e+00	7.378534164497174e-01	1.051875037691403e+00	3.223955459043608e-01	-2.423722392847685e-04	1.570665306864781e-01	1.553240792544348e-04	2.461993838102145e+01
Vertical Tail	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Totals	2.078544445894517e+00	3.159674246569113e+01	-1.363815247477252e-08	2.562289009933684e-01	1.578997242896620e+01	1.071711707651795e+03	1.076094738102335e+03	-5.902152041816427e-03	2.135866385907439e+01	3.134406002114504e-03	1.027549658107479e+03

...Filling Mass Properties (Volume Only -- No Shell or Point Mass)...
100 Num Slice

Slice	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
3.752013112917578e-01	3.240428153606569e-04	3.752013112917579e-01	4.469809937247133e-16	-1.545347020485585e-16	1.461699273430286e-05	4.470448380389904e-05	4.594160751479865e-05	-5.831889922826388e-07	-2.299226065643711e-07	4.011713688361666e-07	1.800237863114762e-01
1.125603933875273e+00	3.240428153606598e-03	1.050563671616915e+00	1.753987247613752e-15	-4.361299584272838e-16	1.043462390748697e-03	1.033872273057716e-03	1.098326809419514e-03	-8.285991346747957e-06	-2.937928643316870e-06	4.861394225319104e-06	1.800237863114767e+00
1.876006556458789e+00	9.671605094242726e-03	1.599445599185216e+00	-5.067862465605190e-09	8.240736924703470e-10	6.006729696636514e-03	5.510787041559390e-03	6.029891197625015e-03	-2.636687541860598e-05	-9.004090856282737e-06	1.492015672088668e-05	5.373113941245999e+00
2.626409179042305e+00	2.043732047253177e-02	2.140416594843328e+00	-2.398276014980983e-09	3.899780540658504e-10	1.990246915130243e-02	1.836998320917690e-02	2.033862452222703e-02	-5.709577385307818e-05	-1.918941568081016e-05	3.130631506360528e-05	1.135406692918417e+01
3.376811801625820e+00	3.571340930456210e-02	2.669273497001109e+00	-1.372434963564863e-09	2.231681294422097e-10	4.793646192986181e-02	4.585500663893145e-02	5.119872468446687e-02	-1.025983642544394e-04	-3.381129580887312e-05	5.492779461064241e-05	1.984078294697817e+01
4.127214424209336e+00	5.522302561579276e-02	3.184346109866699e+00	-8.875676277536806e-10	1.443252334438320e-10	9.383819574664548e-02	9.477131620433638e-02	1.063992698859771e-01	-1.605024591696246e-04	-5.241374832045236e-05	8.519967565270152e-05	3.067945867543917e+01
4.877617046792851e+00	7.949441439949986e-02	3.701338876424358e+00	-6.165685475308440e-10	1.002591641971782e-10	1.650603251605501e-01	1.764372056716265e-01	1.983356739174737e-01	-2.330205674225481e-04	-7.577408033903567e-05	1.224278119699741e-04	4.416356355527602e+01
5.628019669376368e+00	1.072751469851059e-01	4.200285793684157e+00	-4.568956566312749e-10	7.429509628064418e-11	2.587069678990759e-01	2.955581366287223e-01	3.322172677984487e-01	-3.164624550784217e-04	-1.025517223832211e-04	1.654027953467855e-04	5.959730388061233e+01
6.378422291959883e+00	1.384990814031535e-01	4.691335918253060e+00	-3.538917675785590e-10	5.754544403382521e-11	3.774134441006258e-01	4.634091842957596e-01	5.198761240113166e-01	-4.116242007708902e-04	-1.328567679247121e-04	2.142252624238302e-04	7.694393411286072e+01
